model_key,model_label,person_index,action_verb_count,bullet_count,char_count,explanation_connector_count,line_count,medical_disclaimer_present,numeric_evidence_count,required_heading_count,required_heading_coverage,word_count,quality_status,generation_seconds,predicted_body_age_years
teacher_qwen25_7b,Teacher: Qwen2.5-7B,135,13,25,3199,3,25,1,11,5,1.0,450,passed,71.642,66.06
teacher_qwen25_7b,Teacher: Qwen2.5-7B,136,14,27,3268,2,27,1,20,5,1.0,461,passed,77.84100000000002,75.93
teacher_qwen25_7b,Teacher: Qwen2.5-7B,137,12,26,2914,1,26,1,16,5,1.0,411,passed,70.021,84.44
teacher_qwen25_7b,Teacher: Qwen2.5-7B,138,12,24,2707,2,24,1,14,5,1.0,360,passed,61.015,33.8
teacher_qwen25_7b,Teacher: Qwen2.5-7B,139,11,28,2622,1,28,1,18,5,1.0,362,passed,63.637,47.06
teacher_qwen25_7b,Teacher: Qwen2.5-7B,140,13,29,3443,1,29,1,20,5,1.0,487,passed,81.743,76.81
teacher_qwen25_7b,Teacher: Qwen2.5-7B,141,17,30,2766,1,30,1,20,5,1.0,386,passed,68.405,56.63
teacher_qwen25_7b,Teacher: Qwen2.5-7B,142,13,29,3037,2,29,1,25,5,1.0,416,passed,76.32300000000002,84.27
teacher_qwen25_7b,Teacher: Qwen2.5-7B,143,11,21,2236,0,21,1,11,5,1.0,306,passed,51.17,65.44
teacher_qwen25_7b,Teacher: Qwen2.5-7B,144,11,21,2553,1,21,1,12,5,1.0,357,review_needed,58.038,77.49
teacher_qwen25_7b,Teacher: Qwen2.5-7B,145,14,24,2829,2,24,1,15,5,1.0,393,passed,66.843,81.92
teacher_qwen25_7b,Teacher: Qwen2.5-7B,146,15,22,2519,2,22,1,9,5,1.0,350,passed,55.345,33.44
teacher_qwen25_7b,Teacher: Qwen2.5-7B,147,13,24,2582,2,24,1,14,5,1.0,356,passed,57.726000000000006,80.54
teacher_qwen25_7b,Teacher: Qwen2.5-7B,148,11,31,3001,0,31,1,17,5,1.0,400,passed,69.63,48.54
teacher_qwen25_7b,Teacher: Qwen2.5-7B,149,12,22,2736,2,22,1,9,5,1.0,375,passed,57.672,24.13
teacher_qwen25_7b,Teacher: Qwen2.5-7B,150,12,29,2804,4,29,1,13,5,1.0,374,passed,65.343,45.03
teacher_qwen25_7b,Teacher: Qwen2.5-7B,151,12,26,2879,1,26,1,23,5,1.0,409,passed,72.212,56.55
teacher_qwen25_7b,Teacher: Qwen2.5-7B,152,11,27,2753,1,27,1,19,5,1.0,377,passed,65.637,63.29
teacher_qwen25_7b,Teacher: Qwen2.5-7B,153,15,24,3468,3,24,1,17,5,1.0,499,passed,81.753,60.87
teacher_qwen25_7b,Teacher: Qwen2.5-7B,154,13,21,2654,2,21,1,16,5,1.0,381,passed,63.962,62.66
teacher_qwen25_7b,Teacher: Qwen2.5-7B,155,10,19,2804,1,19,1,15,5,1.0,397,passed,64.85600000000001,77.3
teacher_qwen25_7b,Teacher: Qwen2.5-7B,156,13,29,2968,1,29,1,16,5,1.0,414,passed,68.8,48.57
teacher_qwen25_7b,Teacher: Qwen2.5-7B,157,13,26,3169,4,26,1,19,5,1.0,448,passed,74.72800000000002,73.99
teacher_qwen25_7b,Teacher: Qwen2.5-7B,158,12,25,2864,2,25,1,18,5,1.0,394,passed,68.345,89.0
teacher_qwen25_7b,Teacher: Qwen2.5-7B,159,14,27,2663,2,27,1,16,5,1.0,370,passed,63.139,57.42
teacher_qwen25_7b,Teacher: Qwen2.5-7B,160,13,22,2355,2,22,1,14,5,1.0,329,passed,54.109,83.24
teacher_qwen25_7b,Teacher: Qwen2.5-7B,161,11,23,2508,1,23,1,13,5,1.0,346,passed,56.254,20.12
teacher_qwen25_7b,Teacher: Qwen2.5-7B,162,19,29,3448,1,29,1,13,5,1.0,466,passed,78.72,41.55
teacher_qwen25_7b,Teacher: Qwen2.5-7B,163,16,31,3136,2,31,1,23,5,1.0,438,passed,77.175,29.01
teacher_qwen25_7b,Teacher: Qwen2.5-7B,164,13,19,2613,1,19,1,14,5,1.0,367,passed,58.534,79.4
teacher_qwen25_7b,Teacher: Qwen2.5-7B,165,15,28,2844,1,28,1,18,5,1.0,394,passed,69.509,47.56
teacher_qwen25_7b,Teacher: Qwen2.5-7B,166,14,26,2844,1,26,1,22,5,1.0,394,passed,71.124,85.37
teacher_qwen25_7b,Teacher: Qwen2.5-7B,167,16,23,3101,2,23,1,18,5,1.0,442,passed,72.311,71.46
teacher_qwen25_7b,Teacher: Qwen2.5-7B,168,15,30,2766,1,30,1,17,5,1.0,378,passed,64.675,83.49
teacher_qwen25_7b,Teacher: Qwen2.5-7B,169,16,31,2604,0,31,1,14,5,1.0,347,passed,60.149,36.91
teacher_qwen25_7b,Teacher: Qwen2.5-7B,170,16,35,3244,2,35,1,25,5,1.0,451,passed,81.96600000000002,82.1
teacher_qwen25_7b,Teacher: Qwen2.5-7B,171,15,28,2907,1,28,1,14,5,1.0,406,passed,68.084,81.39
teacher_qwen25_7b,Teacher: Qwen2.5-7B,172,13,26,2604,1,26,1,17,5,1.0,355,passed,62.88399999999999,76.18
teacher_qwen25_7b,Teacher: Qwen2.5-7B,173,13,29,2696,1,29,1,20,5,1.0,364,passed,65.96,71.66
teacher_qwen25_7b,Teacher: Qwen2.5-7B,174,15,24,2607,1,24,1,23,5,1.0,360,passed,64.65100000000001,74.93
teacher_qwen25_7b,Teacher: Qwen2.5-7B,175,13,20,2250,0,20,1,8,5,1.0,298,passed,46.816,34.43
teacher_qwen25_7b,Teacher: Qwen2.5-7B,176,16,43,3246,1,43,1,19,5,1.0,438,passed,79.468,26.97
teacher_qwen25_7b,Teacher: Qwen2.5-7B,177,17,28,3204,2,28,1,28,5,1.0,461,passed,82.20100000000002,73.31
teacher_qwen25_7b,Teacher: Qwen2.5-7B,178,17,24,2773,3,24,1,15,5,1.0,387,passed,64.131,44.92
teacher_qwen25_7b,Teacher: Qwen2.5-7B,179,11,22,2243,1,22,1,17,5,1.0,306,passed,52.661,25.68
teacher_qwen25_7b,Teacher: Qwen2.5-7B,180,14,20,2799,1,20,1,13,5,1.0,399,passed,64.265,77.11
teacher_qwen25_7b,Teacher: Qwen2.5-7B,181,17,27,2692,2,27,1,12,5,1.0,370,passed,63.422,65.45
teacher_qwen25_7b,Teacher: Qwen2.5-7B,182,15,25,2974,1,25,1,23,5,1.0,414,passed,72.303,76.25
teacher_qwen25_7b,Teacher: Qwen2.5-7B,183,12,27,3046,0,27,1,23,5,1.0,430,passed,74.851,80.68
teacher_qwen25_7b,Teacher: Qwen2.5-7B,184,12,20,2542,1,20,1,14,5,1.0,350,passed,57.243,63.73
teacher_qwen25_7b,Teacher: Qwen2.5-7B,185,12,31,2893,2,31,1,23,5,1.0,397,passed,72.047,48.5
teacher_qwen25_7b,Teacher: Qwen2.5-7B,186,13,20,2789,1,20,1,20,5,1.0,401,passed,68.79899999999999,41.75
teacher_qwen25_7b,Teacher: Qwen2.5-7B,187,11,25,2594,2,25,1,16,5,1.0,355,passed,61.12300000000001,32.5
teacher_qwen25_7b,Teacher: Qwen2.5-7B,188,15,23,2594,1,23,1,16,5,1.0,355,passed,60.03,79.9
teacher_qwen25_7b,Teacher: Qwen2.5-7B,189,17,25,2856,2,25,1,23,5,1.0,396,passed,71.101,75.99
teacher_qwen25_7b,Teacher: Qwen2.5-7B,190,15,27,3259,1,27,1,18,5,1.0,457,passed,78.539,40.94
teacher_qwen25_7b,Teacher: Qwen2.5-7B,191,12,26,2765,2,26,1,18,5,1.0,379,passed,67.29,35.66
teacher_qwen25_7b,Teacher: Qwen2.5-7B,192,15,27,3187,0,27,1,21,5,1.0,455,passed,75.846,83.53
teacher_qwen25_7b,Teacher: Qwen2.5-7B,193,11,27,2600,1,27,1,22,5,1.0,363,passed,64.97800000000001,75.13
teacher_qwen25_7b,Teacher: Qwen2.5-7B,194,15,17,2610,1,17,1,19,5,1.0,374,passed,64.278,65.7
teacher_qwen25_7b,Teacher: Qwen2.5-7B,195,16,29,2850,0,29,1,17,5,1.0,382,passed,68.992,48.08
teacher_qwen25_7b,Teacher: Qwen2.5-7B,196,12,23,2647,1,23,1,20,5,1.0,361,passed,62.244,34.32
teacher_qwen25_7b,Teacher: Qwen2.5-7B,197,12,23,2474,1,23,1,18,5,1.0,330,passed,59.569,49.73
teacher_qwen25_7b,Teacher: Qwen2.5-7B,198,14,31,2922,1,31,1,26,5,1.0,410,passed,76.676,88.07
