action_verb_count,bullet_count,category_alcohol,category_checks,category_diet,category_exercise,category_follow-up,category_sleep,category_smoking,category_stress,distillation_id,explanation_connector_count,feature_Activity,feature_Alcohol,feature_BMI,feature_Blood Glucose,feature_Blood Pressure,feature_Cholesterol,feature_Diet,feature_Mental Health,feature_Predicted Body Age,feature_Sleep,feature_Smoking,feature_Stress,feature_evidence_count,forbidden_term_count,key_signal_coverage,medical_disclaimer_present,numeric_evidence_count,person_index,quality_score,recommendation_category_count,required_heading_count,required_heading_coverage,response_source,word_count
6,14,1,1,1,1,1,1,1,1,27,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,26,27,80.62857142857143,8,5,1.0,Local rule-based fallback,232
13,20,1,1,1,1,1,1,1,1,28,4,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,12,28,98.0,8,5,1.0,Qwen teacher distillation,373
6,15,1,1,1,1,1,1,1,1,28,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,26,28,80.82857142857142,8,5,1.0,Local rule-based fallback,239
15,36,1,1,1,1,1,1,1,1,29,5,1,1,1,1,1,1,1,1,0,1,1,1,11,0,1.0,1,19,29,100.0,8,5,1.0,Qwen teacher distillation,429
6,13,1,1,1,1,1,1,1,1,29,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,24,29,80.42857142857143,8,5,1.0,Local rule-based fallback,225
15,26,1,1,1,1,1,1,1,1,30,5,1,1,1,1,1,1,1,1,0,1,1,1,11,0,1.0,0,21,30,95.0,8,5,1.0,Qwen teacher distillation,398
6,15,1,1,1,1,1,1,1,1,30,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,30,80.57142857142857,8,5,1.0,Local rule-based fallback,230
13,34,1,1,1,1,1,1,1,1,31,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,0,22,31,89.0,8,5,1.0,Qwen teacher distillation,427
6,15,1,1,1,1,1,1,1,1,31,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,31,80.68571428571428,8,5,1.0,Local rule-based fallback,234
13,33,1,1,1,1,1,1,1,1,32,3,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,0,21,32,91.0,8,5,1.0,Qwen teacher distillation,389
6,15,1,1,1,1,1,1,1,1,32,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,32,80.71428571428571,8,5,1.0,Local rule-based fallback,235
15,26,1,1,1,1,1,1,1,1,33,3,1,1,1,0,1,1,1,0,1,1,1,1,10,0,1.0,0,13,33,91.0,8,5,1.0,Qwen teacher distillation,354
6,14,1,1,1,1,1,1,1,1,33,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,33,80.45714285714286,8,5,1.0,Local rule-based fallback,226
16,28,1,1,1,1,1,1,1,1,34,4,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,0,19,34,93.0,8,5,1.0,Qwen teacher distillation,411
6,15,1,1,1,1,1,1,1,1,34,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,34,80.68571428571428,8,5,1.0,Local rule-based fallback,234
13,25,1,1,1,1,1,1,1,1,35,3,1,1,0,1,1,1,1,0,1,1,1,1,10,0,1.0,0,10,35,90.85714285714286,8,5,1.0,Qwen teacher distillation,345
6,15,1,1,1,1,1,1,1,1,35,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,35,80.62857142857143,8,5,1.0,Local rule-based fallback,232
17,27,1,1,1,1,1,1,1,1,36,4,1,1,1,1,1,1,1,1,1,1,1,1,12,0,1.0,1,17,36,98.0,8,5,1.0,Qwen teacher distillation,419
6,15,1,1,1,1,1,1,1,1,36,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,26,36,80.74285714285715,8,5,1.0,Local rule-based fallback,236
11,24,1,1,1,1,1,1,1,1,37,4,1,1,1,1,1,1,1,0,0,1,1,1,10,0,0.8333333333333334,0,16,37,88.0,8,5,1.0,Qwen teacher distillation,390
6,15,1,1,1,1,1,1,1,1,37,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,37,80.77142857142857,8,5,1.0,Local rule-based fallback,237
